Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
346,-0.928193196,0.671758012,1.924615958,0.273754663,1.041108482,0.136930115,0.361483192,0.143336968,-0.682134253,-0.650820411,-0.789520226,0.429949661,1.441283484,-0.130724906,1.209469053,0.11751407,-0.576289738,-0.331699927,-0.162684482,0.163521074,-0.115034384,-0.424493888,-0.194916247,-0.783830053,0.310156308,-0.512783097,0.084721084,0.082172614,5.0,0
404,0.63880634,1.772451089,-1.748258,1.297699728,1.785871617,-1.05019683,1.485730045,-0.780631018,0.4169914,0.002689973,0.908875094,-0.672825142,0.372099813,-4.407431765,1.428052826,0.371421868,2.561437339,1.042814884,-0.635637626,0.589653866,-0.359613479,-0.061540475,-0.051427705,-0.764737576,-0.42418127,-0.418629119,-0.003258457,-0.541236519,0.99,0
478,-0.39436394,0.962488927,1.164111305,-0.110028409,0.221215518,-0.526324365,0.505039916,0.14774288,-0.499457133,-0.311498738,1.049040936,0.055268911,-0.754753359,-0.081797714,0.312033559,0.712748003,-0.312042726,0.56845568,0.328515114,0.091281055,-0.240068779,-0.709400244,-0.051337328,-0.07123996,-0.173978438,0.077661031,0.234552587,0.083874813,1.79,0
559,0.940965065,-1.868811022,0.426719309,-1.717117277,-1.861869393,-0.357676464,-0.767727544,-0.03981561,1.200838095,-0.585487045,-1.386855669,0.293601235,-0.124621657,-0.480286664,0.259230856,-2.187021883,0.409553471,1.287114409,0.491033563,-0.03876626,-0.446133804,-1.003234428,-0.181037411,-0.10547471,0.271430109,-0.092694701,0.02873262,0.063535426,242.15,0
388,0.19948941,0.705635829,1.39811485,1.21964719,0.149196139,-0.69893233,-0.551005698,-0.872024284,-0.370323732,-0.032175636,0.506833954,0.94959832,0.689685777,0.394380416,1.412828788,-0.52131921,0.241034972,-0.989513274,-0.326511552,-0.203632497,0.640890367,-0.701341255,-0.757939045,0.639510058,0.147695933,-0.544985958,0.274527786,0.28055474,9.99,0
194,-0.773295862,-0.190661402,2.404946261,-1.799880754,-0.396516458,0.199217658,0.257805624,-0.341961662,-0.06972773,1.181367471,1.465251443,-0.105116481,-0.232535811,-1.397118979,-1.21718188,0.568078154,0.036588183,-1.272570872,-0.090211742,0.436142397,0.235139826,1.447800396,-0.320606648,0.271029138,-0.068299271,-0.266823198,-0.127058976,-0.392033032,32.77,0
391,-0.829932199,0.430250426,1.303707673,1.040559371,0.822209791,0.844830135,0.589865275,0.045790744,-0.14864457,0.310522867,0.178932311,-0.314635572,-1.510059288,0.182331208,-0.157713527,-0.783954374,0.037390761,0.242676949,1.442092948,-0.058815781,-0.075178971,0.096038166,-0.139414587,-0.859739201,0.12123541,-0.204961889,-0.292247194,-0.058995507,27.7,0
499,-0.860625554,-0.109136995,2.112474001,-1.400567214,0.180269368,1.329655549,0.431000859,0.317760791,0.5937619,-0.987304417,-0.309226998,0.067845743,-0.84181499,-0.609413345,-1.189737597,0.329120749,-0.627299224,0.012316203,0.257628143,0.157200811,-0.197635169,-0.436535273,-0.194840239,-1.236873499,0.218667524,0.902383235,-0.210194686,-0.190458298,92.82,0
493,1.219725093,-0.481148941,-0.324350971,-1.552562458,-0.25835656,-0.519341605,-0.035457768,-0.117824448,1.267125148,-1.068542481,-0.638446071,0.352484877,0.060428419,0.33282311,1.999235669,-0.505570625,-0.160606032,-0.332377621,0.646091265,0.035717841,-0.040427515,-0.106937606,-0.171757701,-0.721597142,0.525567582,0.084212262,-0.001620871,0.011865904,67.94,0
231,0.28309985,0.819283967,1.05430883,0.348488289,-0.156816751,-0.509168874,0.050382122,-0.908179117,-0.406902611,-0.610898197,0.610229487,0.966775768,1.167915091,-0.419693057,1.123807698,0.076191843,0.368976203,-0.975219854,-0.802955757,-0.165241016,0.509395353,-0.96211817,0.040062709,0.381392059,0.754119114,0.179193198,0.051790788,0.114121045,1.98,0
